event_id,event_cycle,event_type,module,command_id,opcode,logical_id,slice_id,stage,subrequest_state,channel_state,chip_state,plane_state,channel,chip,die,plane,stage_start_cycle,stage_end_cycle,duration_cycles,active_commands
0,0,ISSUE,onfi_bus[ch0],0,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,0,0,0,0,0,8,8,1
1,0,ISSUE,onfi_bus[ch1],1,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,1,0,0,0,0,8,8,2
2,0,ISSUE,onfi_bus[ch2],2,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,2,0,0,0,0,8,8,3
3,0,ISSUE,onfi_bus[ch3],3,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,3,0,0,0,0,8,8,4
4,0,ISSUE,onfi_bus[ch4],4,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,4,0,0,0,0,8,8,5
5,0,ISSUE,onfi_bus[ch5],5,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,5,0,0,0,0,8,8,6
6,0,ISSUE,onfi_bus[ch6],6,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,6,0,0,0,0,8,8,7
7,0,ISSUE,onfi_bus[ch7],7,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,7,0,0,0,0,8,8,8
8,8,COMPLETE,onfi_bus[ch0],0,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,0,0,0,0,0,8,8,8
9,8,COMPLETE,onfi_bus[ch7],7,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,7,0,0,0,0,8,8,7
