check,value,target,status
figure9_row_count,21.000000,21,PASS
figure9_mean_abs_error_pct,8.354022,<=9,PASS
figure9_max_abs_error_pct,14.540694,<=15,PASS
first_platform_tile_height,256.000000,>0,PASS
first_platform_tile_width,2048.000000,>0,PASS
first_platform_read_slicing_speedup_min,1.724425,>=1.0,PASS
first_platform_read_slicing_speedup_max,1.741587,<=4.0,PASS
first_platform_tiling_speedup_min,1.341426,>=1.0,PASS
first_platform_tiling_speedup_max,1.349439,<=4.0,PASS
context_guardrail_window_min_tokens,977.000000,<=default,PASS
context_guardrail_window_max_tokens,1040.000000,>=default,PASS
context_best_max_error_tokens,1007.000000,900-1100,PASS
context_best_rmse_tokens,1032.000000,900-1100,PASS
cycle_weight_rows,21.000000,21,PASS
cycle_weight_min_command_expansion,3.999996,>1,PASS
cycle_weight_max_total_commands,1544720.000000,>0,PASS
controller_balance_delta_max_pct,0.000000,<=1e-6,PASS
cycle_controller_trace_enabled,1.000000,1,PASS
ssdsim_ifc_backend_enabled,1.000000,1,PASS
ssdsim_ifc_event_loop_enabled,1.000000,1,PASS
